${sku},${url},${unit},${order_by}
"10000275",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000275_sen_1200_1.jpg,SEN,1
"10000278",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000278_sen_1200_1.jpg,SEN,1
"10000282",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000282_sen_1200_1.jpg,SEN,1
"10000287",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000287_sen_1200_1.jpg,SEN,1
"10000288",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000288_sen_1200_1.jpg,SEN,1
"10000320",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000320_sen_1200_1.jpg,SEN,1
"10000344",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000344_sen_1200_1.jpg,SEN,1
"10000361",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000361_ea_1200_1.jpg,PAA,1
"10000363",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000363_ea_1200_1.jpg,PAA,1
"10000365",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000365_ea_1200_1.jpg,PAA,1
"10000367",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000367_ea_1200_1.jpg,PAA,1
"10000369",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000369_ea_1200_1.jpg,PAA,1
"10000373",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000373_paa_1200_1.jpg,PAA,1
"10000377",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000377_tan_1200_1.jpg,PAA,1
"10000378",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000378_paa_1200_1.jpg,PAA,1
"10000381",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000381_paa_1200_1.jpg,PAA,1
"10000382",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000382_paa_1200_1.jpg,PAA,1
"10000387",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000387_ea_1200_1.jpg,EA,1
"10000393",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000393_ea_1200_1.jpg,EA,1
"10000393",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000393_ea_1200_2.jpg,EA,2
"10000429",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000429_ea_1200_1.jpg,EA,1
"10000429",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000429_ea_1200_2.jpg,EA,2
"10000433",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000433_sen_1200_1_1.jpg,PL,1
"10000436",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000436_sen_1200_1.jpg,PL,1
